"","code","name","stock"
"5592","00331760","테스텍","048510"
"5645","00200761","중앙디자인","030030"
"5743","00268297","에코페트로시스템","042870"
"5762","00161301","한림창업투자","021060"
"5811","00237260","헤쎄나","036270"
"5847","00297970","미래에셋굿라이프혼합형자녀를위한투자회사10-1","037510"
"5895","00107358","일공공일안경콘택트","032030"
"5958","00115427","신동방CP","004660"
"6062","00267474","지앤알","043630"
"6084","00134051","셀런","013240"
"6097","00596066","한국베트남15-1유전해외자원개발투자회사","093820"
"6161","00347363","에이치원바이오","052310"
"6172","00150226","씨앤중공업","008400"
"6173","00152914","FnC코오롱","001370"
"6208","00158839","제너비오믹스","017010"
"6225","00159281","케드콤","011050"
"6274","00210537","지엔텍홀딩스","065410"
"6288","00240370","동부씨엔아이","044640"
"6308","00247887","아이피에스","051820"
"6317","00268358","에스브이에이치","046240"
"6354","00316488","제이콤","060750"
"6366","00264130","옥션","043790"
"6373","00540304","네이쳐글로벌","088020"
"6393","00617299","GB블루오션베트남주식혼합형투자회사1호","094950"
"6442","00262275","엠씨티티코어","052210"
"6458","00200798","에이스앤파트너스","032930"
"6475","00335924","지앤디윈텍","061050"
"6496","00111591","인터피온반도체","014010"
"6497","00189343","솔로몬저축은행","007800"
"6507","00252588","엠트론스토리지테크놀로지","046320"
"6548","00267997","에스티앤아이","031800"
"6553","00367376","사이노젠","064060"
"6554","00299686","유퍼트","060670"
"6556","00463050","엑스로드","074140"
"6557","00238913","선우중공업","068770"
"6596","00107446","남양","003020"
"6601","00114303","엘지데이콤","015940"
"6602","00318617","LG파워콤","045820"
"6608","00267775","동산진흥","031960"
"6609","00394574","티이씨","067950"
"6610","00110176","한국기술산업","008320"
"6632","00349787","지케이파워","054020"
"6633","00136554","스타맥스","017050"
"6668","00144562","유성티에스아이","024870"
"6886","00370547","네오리소스","058550"
"6912","00242439","케이알","035950"
"6937","00134060","씨앤상선","000790"
"7053","00392600","투미비티","058900"
"7115","00259855","코아정보시스템","039990"
"7125","00385451","케이에스리소스","066340"
"7126","00258944","세계투어","047600"
"7223","00798530","동양밸류오션기업인수목적","122290"
"7245","00451268","케이이엔지","077960"
"7248","00336570","사이버패스","063280"
"7253","00363325","산양전기","079870"
"7263","00148188","으뜸상호저축은행","032150"
"7301","00508566","국제개발","080570"
"7325","00133928","세신","004230"
"7409","00540784","골든브릿지더블유엠경매부동산일호투자회사","084160"
"7471","00298252","엘앤피아너스","061140"
"7489","00264556","에이스일렉트로닉스","038690"
"7511","00581000","디앤샵","090090"
"7512","00359094","더체인지","054120"
"7569","00686970","다산자기관리부동산투자회사","105380"
"7604","00255309","써니트렌드","035500"
"7605","00362380","뉴젠비아이티","054650"
"7607","00244862","룩소네이트","033880"
"7626","00301015","한서제약","044070"
"7644","00297165","현대오토넷","042100"
"7645","00105767","LG마이크론","016990"
"7709","00173397","서광건설산업","001600"
"7723","00259606","플러스프로핏","036660"
"7740","00178471","한와이어리스","037020"
"7741","00331733","포휴먼","049690"
"7827","00104892","알이네트웍스","023670"
"7842","00647917","케이알제2호개발전문위탁관리부동산투자회사","101790"
"7898","00597764","미래에셋맵스오퍼튜니티베트남주식혼합형투자회사1호","094520"
"7951","00355821","씨티엘테크","088960"
"7962","00329677","이디디컴퍼니","052650"
"7987","00244871","케이티프리텔","032390"
"8019","00246383","메카포럼","035830"
"8029","00345499","에스피코프","048130"
"8070","00348140","이롬텍","045400"
"8129","00215107","이앤텍","047450"
"8130","00106508","기린","006070"
"8214","00560991","맥스브로","088810"
"8216","00265263","토자이홀딩스","037700"
"8235","00142564","우방","013200"
"8258","00198572","동양매직","023020"
"8259","00642648","코웰이홀딩스유한공사","900020"
"8267","00537443","아구스","078670"
"8323","00113173","대한은박지","007480"
"8325","00441872","인스프리트","073130"
"8331","00480844","하이럭스","079340"
"8338","00262044","트리니티","053070"
"8342","00101442","카라반케이디이","032570"
"8363","00295875","더존디지털웨어","045380"
"8368","00441298","디보스","080140"
"8392","00263885","포네이처","045290"
"8393","00475532","테이크시스템즈","076090"
"8394","00130204","폴켐","033190"
"8439","00128731","유리이에스","007050"
"8458","00325981","에프아이투어","047370"
"8459","00540021","모빌탑","085680"
"8476","00362089","올리브나인","052970"
"8480","00228916","디패션","030420"
"8587","00114215","알덱스","025970"
"8594","00264103","에이엠에스","044770"
"8595","00109648","오라바이오틱스","016160"
"8604","00261212","시노펙스그린테크","037320"
"8702","00348007","야호커뮤니케이션","059720"
"8705","00275808","브이케이","048760"
"8707","00375579","팬택앤큐리텔","063350"
"8714","00197324","팬텀엔터테인먼트그룹","025460"
"8718","00339063","삼성수산","052560"
"8747","00538497","동북아15호선박투자회사","084240"
"8789","00329084","비엔디","047940"
"8805","00225140","쌈지","033260"
"8828","00101947","브이오산업","018890"
"8838","00287724","코디콤","041800"
"8854","00347840","제네시스엔알디","052640"
"8915","00504357","동북아6호선박투자회사","080410"
"8924","00269339","인네트","041450"
"8943","00634959","한국월드와이드아시아태평양특별자산1호투자회사","098150"
"8960","00267094","헤파호프코리아","039350"
"9086","00142698","휴리프","006210"
"9102","00350057","하이스마텍","057100"
"9111","00721981","삼성디지털이미징","108070"
"9186","00248691","씨제이인터넷","037150"
"9187","00335562","엠넷미디어","056200"
"9188","00369675","온미디어","045710"
"9226","00265078","유니텍전자","039040"
"9317","00267809","위더스기술금융","019430"
"9326","00314000","클라스타","037550"
"9328","00355292","아시아미디어홀딩스","052810"
"9336","00386557","아이스테이션","056010"
"9343","00548865","동북아21호선박투자회사","088010"
"9363","00221320","에이스디지텍","036550"
"9395","00124054","부산저축은행","007830"
"9412","00301486","에피밸리","068630"
"9425","00149248","아세아페이퍼텍","009380"
"9465","00311298","오페스","053470"
"9471","00348557","액티투오","047710"
"9473","00265342","에이치에스씨홀딩스","038920"
"9479","00156734","한국고덴시","027840"
"9480","00208693","나리지*온","036850"
"9482","00128953","프로비타","014420"
"9488","00428792","제로원인터랙티브","069470"
"9489","00148744","제일화재해상보험","000610"
"9490","00518873","동북아9호선박투자회사","083120"
"9510","00300779","굿이엠지","051530"
"9520","00397766","아이드림","066850"
"9565","00174305","조인에너지","004820"
"9579","00320807","태광이엔시","048140"
"9711","00106492","렉스엘이앤지","004790"
"9722","00592583","코리아퍼시픽05호선박투자회사","093400"
"9821","00275260","엑큐리스","048460"
"9862","00146719","일화모직공업","001590"
"9893","00183914","우경","025920"
"9957","00481676","세미텍","081220"
"10138","00104971","그린손해보험","000470"
"10164","00269773","대양글로벌","040180"
"10167","00334767","엔하이테크","046720"
"10223","00453752","제너시스템즈","073930"
"10249","00140919","엘트온","015050"
"10299","00255840","태산엘시디","036210"
"10346","00133034","성원건설","012090"
"10349","00161028","대우송도개발","004550"
"10425","00174475","현대금속","018410"
"10447","00251482","트라이써클","034010"
"10517","00824659","아이비케이에스스마트에스엠이기업인수목적1호","126680"
"10604","00259536","네스테크","037540"
"10670","00505198","동북아5호선박투자회사","080980"
"10702","00679730","파브코","101990"
"10761","00803504","우리기업인수목적1호","122750"
"10770","00350118","뉴젠아이씨티","054150"
"10776","00352295","인젠","041630"
"10786","00240088","지앤에스티","036920"
"11022","00356158","영진코퍼레이션","053330"
"11029","00560025","코크렙제8호위탁관리부동산투자회사","090540"
"11030","00140380","유니온스틸","003640"
"11067","00101275","경남모직","001670"
"11100","00334493","씨티앤티","050470"
"11101","00797674","대우증권그린코리아기업인수목적회사","121910"
"11112","00244589","지노시스템","033850"
"11139","00802028","한국투자신성장1호기업인수목적회사","123290"
"11142","00164292","동원데어리푸드","003900"
"11145","00371519","휴먼텍코리아","066060"
"11152","00126593","에스에스씨피","071660"
"11216","00220181","평산","089480"
"11342","00254009","지디코프","036610"
"11355","00505541","아시아퍼시픽2호선박투자회사","081190"
"11431","00240398","무한투자","034510"
"11477","00828309","동부티에스블랙펄기업인수목적","128910"
"11500","00349468","블루젬디앤씨","053040"
"11504","00808262","부국퓨쳐스타즈기업인수목적","123300"
"11578","00252393","예당컴퍼니","049000"
"11685","00229818","터보테크","032420"
"11744","00154189","케이비물산","008540"
"11752","00680161","연합과기공고유한공사","900030"
"11825","00102645","글로스텍","012410"
"11827","00844884","중국고섬공고유한공사","950070"
"11872","00592592","코리아퍼시픽06호선박투자회사","093410"
"11874","00268437","나노트로닉스","010670"
"12046","00798284","미래에셋제1호기업인수목적","121950"
"12059","00164195","에이원마이크로","037380"
"12060","00264811","에이프로테크놀로지","045470"
"12238","00208301","성우몰드","053440"
"12268","00676380","모린스","110310"
"12311","00543231","디지텍시스템스","091690"
"12325","00103121","세븐코스프","017160"
"12383","00122436","배명금속","011800"
"12412","00505189","동북아4호선박투자회사","080970"
"12466","00271413","사라콤","040020"
"12516","00245296","폴리플러스","065610"
"12545","00188122","하나물산","036280"
"12566","00480905","영찬테크","085990"
"12645","00890333","케이비부국제1호개발전문위탁관리부동산투자회사","149130"
"12649","00510534","아시아퍼시픽8호선박투자회사","081930"
"12683","00150855","진흥저축은행","007200"
"12704","00173634","에듀언스","009010"
"12722","00830377","성융광전투자유한공사","900150"
"12767","00224567","샤인시스템","066300"
"12817","00582054","씨모텍","081090"
"12902","00125929","에스컴","014900"
"12951","00502793","아시아퍼시픽1호선박투자회사","080180"
"12964","00505550","아시아퍼시픽3호선박투자회사","081200"
"12991","00104704","한국저축은행","025610"
"12997","00361035","미리넷","056710"
"13094","00630111","3노드디지탈그룹유한공사","900010"
"13109","00264802","유일엔시스","038720"
"13351","00399773","케이피케미칼","064420"
"13359","00257529","이루넷","041030"
"13375","00804114","대신증권그로쓰알파기업인수목적","123550"
"13376","00416706","유에이블","071530"
"13443","00121251","네오퍼플","028090"
"13657","00173324","경윤하이드로에너지","019120"
"13666","00121729","롯데미도파","004010"
"13670","00808226","한화에스브이명장제1호기업인수목적","124050"
"13685","00162577","셀텍","019260"
"13686","00812229","에스비아이앤솔로몬드림기업인수목적","123910"
"13780","00351153","위다스","056810"
"13818","00126885","에스와이코퍼레이션","008080"
"13946","00264741","어울림네트웍스","042820"
"13973","00266989","에이디모터스","038120"
"14004","00260693","평안물산","037240"
"14021","00267951","아큐텍","013780"
"14024","00132114","선진지주","014300"
"14025","00804983","히든챔피언제1호기업인수목적","123160"
"14039","00502474","동북아2호선박투자회사","080030"
"14100","00579379","금강제강","105070"
"14246","00264857","아라온테크","041060"
"14262","00375302","우리금융지주","053000"
"14265","00252658","코리언일랙트로닉스파워소스","046810"
"14326","00264848","대국","042340"
"14335","00138376","쎄라텍","041550"
"14391","00251190","글로웍스","034600"
"14402","00694003","중국식품포장유한공사","900060"
"14448","00505170","동북아3호선박투자회사","080960"
"14508","00116073","그린기술투자","025340"
"14548","00259439","지아이바이오","035450"
"14632","00207436","알에스넷","046430"
"14647","00408585","나이스메탈","072530"
"14715","00111829","대웅바이오","016890"
"14779","00956028","엑세스바이오","950130"
"14896","00115038","하나IB증권","003330"
"14917","00288653","퓨쳐비젼","042570"
"15035","00303837","이레전자산업","045310"
"15241","00330017","레이더스컴퍼니","047420"
"15306","00264769","포이보스","038810"
"15307","00308948","미디어코프","053890"
"15308","00321222","케이디세코","073780"
"15309","00361202","이노블루","066200"
"15310","00450728","도움","078610"
"15311","00535773","엑스씨이","081500"
"15426","00152950","코오롱유화","011020"
"15972","00296069","세라온홀딩스","050600"
"15996","00521956","현대경매부동산일호투자회사","083160"
"16010","00360540","우수씨엔에스","060550"
"16017","00593519","동북아31호선박투자회사","093730"
"16061","00194372","후야인포넷","032050"
"16107","00154693","이레아이엔씨","036900"
"16124","00106650","카스코","005330"
"16173","00368791","모델라인","064720"
"16176","00220552","청람디지탈","035270"
"16177","00301626","플래닛팔이","057330"
"16178","00294371","한텔","041940"
"16366","00353683","코스모스피엘씨","053170"
"16367","00252375","나노하이텍","071360"
"16368","00260903","쓰리소프트","036360"
"16369","00261461","트라이콤","038410"
"16370","00265218","케이엔에스홀딩스","036760"
"16371","00471989","지비에스","076170"
"16372","00306986","피더블유제네틱스","065910"
"16422","00356644","엠텍반도체","054440"
"16471","00305695","세니콘","056060"
"16530","00151252","에스와이","004530"
"16542","00257051","유씨아이콜스","065810"
"16678","00459589","코크렙제3호CR리츠","073530"
"16686","00264839","아이비진","039060"
"16897","00366164","아이티센네트웍스","057110"
"16916","00436728","리얼티코리아제1호기업구조조정부동산투자","072450"
"17092","00136235","BHK","003990"
"17093","00328854","포넷","048270"
"17246","00120960","맥슨텔레콤","009890"
"17494","00220446","예일바이오텍","054250"
"17710","00119733","엔토리노","032590"
"17749","00119423","두림티앤씨","033330"
"17768","00557067","동북아27호선박투자회사","089170"
"17769","00557058","동북아28호선박투자회사","089180"
"17770","00557030","동북아30호선박투자회사","089200"
"17771","00557049","동북아29호선박투자회사","089190"
"17830","00244330","현주컴퓨터","038960"
"17952","00120100","LG석유화학","012990"
"17973","00246657","오브제","058680"
"18140","00130037","휴닉스","009790"
"18166","00405074","세이프아시아","066330"
"18262","00398534","코크렙제1호기업구조조정부동산투자회사","067910"
"18493","00234449","제이엠피","054790"
"18512","00165200","위너스인프라인","005760"
"18673","00150183","AP우주통신","015670"
"18724","00268482","조이토토","044370"
"18725","00363033","한도하이테크","060660"
"18726","00364227","에너윈","055970"
"18875","00458915","유레스메리츠제1호","073470"
"18924","00386876","교보메리츠퍼스트기업구조조정부동산투자회사","064900"
"18926","00163044","한일약품공업","003040"
"18941","00543073","굿앤리치부동산공경매투자회사1호","085450"
"18995","00160445","한국합섬","025830"
"19186","00554468","굿앤리치부동산공경매투자회사2호","088510"
"19269","00165565","디에스피이엔티","016040"
"19351","00300256","시큐어소프트","037060"
"19357","00138491","동부일렉트로닉스","001830"
"19538","00102821","고려시멘트","003660"
"19540","00377814","베스트플로우","060410"
"19634","00364670","쿨투","056020"
"19753","00143013","우영","012460"
"20350","00263991","모빌링크텔레콤","041310"
"20824","00105183","극동제혁","010200"
"20831","00173254","한마음상호저축은행","025450"
"20871","00101637","그로웰전자","009220"
"20889","00124513","부흥","003930"
"21039","00139418","알루코","021570"
"21049","00154417","퍼시픽글라스","009080"
"21353","00119362","아이인프라","008780"
"21411","00140353","씨크롭","016970"
"21458","00170451","외환신용카드","038400"
"21460","00267793","삼화기연","033210"
"21494","00260639","대흥멀티미디어통신","037250"
"21572","00153852","텔슨정보통신","018180"
"21619","00248956","비이티","036820"
"21754","00390028","코오롱인터내셔널","063510"
"21806","00260888","엔써커뮤니티","037750"
"21807","00275710","써미트테크놀로지","039000"
"21811","00172103","코리아이앤디","027440"
"21816","00263955","트래픽아이티에스","038050"
"21853","00261601","호성","035870"
"21918","00265254","넥스텔","037220"
"21975","00255266","쓰리알","037730"
"21991","00259916","그로웰텔레콤","035780"
"22001","00131434","서통","001150"
"22225","00271352","테크메이트","043690"
"22263","00244932","한아시스템","036020"
"22264","00348052","엔에스아이","053250"
"22323","00367598","케이티씨텔레콤","055810"
"22506","00267720","신한SIT","054530"
"22558","00147949","스마텔","004190"
"22624","00203458","동방라이텍","025690"
"22659","00130000","아이텍스필","008030"
"22668","00145534","이수세라믹","032180"
"22674","00425360","코크렙제2호기업구조조정부동산투자회사","070540"
"22855","00141334","영풍산업","002850"
"22865","00384452","모닷텔","048150"
"22903","00103583","광덕물산","003590"
"22922","00162142","동원증권","005890"
"22955","00236021","우주통신","054080"
"23201","00106483","기라정보통신","019930"
"23239","00208374","텔슨전자","027350"
"23241","00309983","하이콤정보통신","048540"
"23301","00277727","미래에셋굿라이프혼합형자녀를위한펀드5-1","037500"
"23304","00136217","한메엔에스","006150"
"23352","00229827","이지클럽","038980"
"23555","00247902","넷컴스토리지","037010"
"23580","00318477","모디아","046000"
"23631","00246815","성진산업","037650"
"23636","00260921","아이엠아이티","038100"
"23638","00247762","맥시스템","036880"
"23694","00350224","슈마일렉트론","056500"
"23992","00101992","센추리","006750"
"23996","00151614","베네데스하이텍","009360"
"23999","00179832","에스오케이","032610"
"24106","00241120","세원텔레콤","036910"
"24266","00277985","한강구조조정기금","036060"
"24343","00325918","케이엔티","036590"
"24466","00110981","대아리드선","009940"
"24497","00116499","동신제약","006600"
"24553","00104467","국민은행","031150"
"24568","00257361","월드텔레콤","047610"
"24676","00358730","업필","054370"
"24886","00248406","화림모드","045920"
"24911","00348788","디이시스","053200"
"24959","00110963","대아건설","000380"
"24997","00149840","중앙제지","005600"
"25019","00267021","창민테크","042960"
"25121","00330406","씨제이엔터테인먼트","049370"
"25195","00110079","대백쇼핑","027700"
"25386","00141440","지니웍스","036600"
"25405","00135670","신광기업","001580"
"25441","00144933","유진종합개발","023420"
"25456","00371139","휘튼","066480"
"25568","00218654","엠바이엔","031970"
"25583","00115852","두산건설","002950"
"25604","00113696","대호","001980"
"25644","00253514","한신코퍼레이션","037120"
"25674","00105509","금강화섬","010730"
"25875","00163178","우리증권","001280"
"25911","00264185","피코소프트","039580"
"25912","00265157","바이오시스","035960"
"25924","00270405","윌텍정보통신","039390"
"25939","00125406","삼도물산","002930"
"26025","00258731","현대멀티캡","035910"
"26108","00822572","씨아이에스","144630"
"26133","00423609","LG생명과학","068870"
"26135","00580603","코리아퍼시픽01호선박투자회사","090970"
"26136","00580612","코리아퍼시픽02호선박투자회사","090980"
"26168","00317830","신양오라컴디스플레이","086830"
"26421","00311030","미래에셋증권","037620"
"26598","00439053","이룸지엔지","050640"
"26730","00992312","에스와이이노베이션","194860"
"26761","00580621","코리아퍼시픽03호선박투자회사","090990"
"26762","00580630","코리아퍼시픽04호선박투자회사","091000"
"26774","00262123","유아이에너지","050050"
"26796","00533696","아시아퍼시픽14호선박투자회사","083610"
"26934","00140362","제이에스전선","005560"
"26944","00533757","아시아퍼시픽13호선박투자회사","083600"
"26945","00533580","아시아퍼시픽10호선박투자회사","083570"
"26946","01041217","현대에이블기업인수목적1호","204760"
"26947","00533793","아시아퍼시픽11호선박투자회사","083580"
"26948","00533836","아시아퍼시픽12호선박투자회사","083590"
"26963","00144766","호반산업","004320"
"27020","00525527","실리콘화일","082930"
"27149","00372989","비엔씨컴퍼니","058370"
"27226","00529523","동북아11호선박투자회사","083360"
"27227","00526474","동북아14호선박투자회사","083390"
"27283","00302801","디아이디","074130"
"27348","00124018","부산방직공업","025270"
"27356","00255071","현대에이치씨엔동작방송","034750"
"27482","00364926","플렉스컴","065270"
"27569","00350491","웹솔루스","160350"
"27724","00450214","마이스코","088700"
"27898","01022054","솔트웍스","222520"
"27906","00164955","현대페인트","011720"
"27918","00790501","한진해운","117930"
"27928","00272412","글라소울","045050"
"27940","00207542","팬택자산관리","025930"
"28010","00394778","케이엔씨글로벌","068150"
"28076","00446460","아이디에스","078780"
"28098","00188946","훈영","017170"
"28138","00137702","한솔아트원제지","007190"
"28192","00418476","엠제이비","074150"
"28402","00587101","바다로3호선박투자회사","092630"
"28574","00351047","아이팩토리","053810"
"28783","00778040","거북선5호선박투자회사","114130"
"28784","00778059","거북선6호선박투자회사","114140"
"28895","00126229","삼성물산","000830"
"28912","00496003","피엘에이","082390"
"29133","00359030","닉스테크","063840"
"29443","00510914","아시아퍼시픽9호선박투자회사","081940"
"29509","00697329","거북선4호선박투자회사","108890"
"29518","00149664","중앙건설","015110"
"29541","00318839","미래에셋새천년코리아벤처펀드일호","042950"
"29610","00130897","하나은행","002860"
"29640","00183260","에이스하이텍","071930"
"29732","00246347","태창파로스","039850"
"29782","00599230","평산차업집단유한공사","950010"
"29797","00970277","스탠다드펌","179280"
"29827","00122922","벽산건설","002530"
"29830","00116860","NH농협증권","016420"
"29831","00505569","아시아퍼시픽4호선박투자회사","081210"
"30018","00160612","한화화인케미칼","025850"
"30083","00659435","정다운","224090"
"30254","00232317","지오엠씨","033030"
"30360","00130860","에듀패스","031950"
"30372","00113632","아이디에이치","026230"
"30402","00837680","거북선7호선박투자회사","134000"
"30496","00130815","서울상호저축은행","016560"
"30551","00248123","와이즈파워","040670"
"30635","00788807","코크렙제15호기업구조조정부동산투자회사","121550"
"30826","00270432","티브로드한빛방송","043890"
"30856","00648697","거북선3호선박투자회사","102000"
"30859","00165529","동성하이켐","013450"
"30909","00419989","클루넷","067130"
"31083","00637114","코리아퍼시픽07호선박투자회사","099210"
"31120","00361114","씨유전자","056340"
"31202","00125628","삼목강업","158380"
"31281","00265227","에스비엠","037630"
"31342","00267669","솔빛미디어","044440"
"31366","00693800","에프지엔개발전문자기관리부동산투자회사","119250"
"31379","00991012","판타지오","187770"
"31423","00164469","현대하이스코","010520"
"31458","00586652","거북선1호선박투자회사","092970"
"31469","00132105","삼양제넥스","003940"
"31506","00345657","코아에스앤아이","052350"
"31589","00810531","자원메디칼","181980"
"31601","00127370","삼우이엠씨","026250"
"31617","00261124","어울림정보기술","038320"
"31699","00244729","티브로드도봉강북방송","035210"
"31871","00138127","티이씨앤코","008900"
"31984","00156521","화인자산관리","010460"
"32069","00446831","세실","084450"
"32219","00127024","삼양엔텍","008720"
"32292","00120377","로케트전기","000420"
"32308","00136970","신일건업","014350"
"32539","00148328","제일모직","001300"
"32552","00842479","퓨얼셀파워","139170"
"32590","00907660","아루히","950100"
"32695","00351269","지티앤티","053870"
"32733","00350251","모아에스앤에스","052880"
"32742","00206127","어울림엘시스","033280"
"32982","00846396","이코리아자기관리부동산투자회사","138440"
"33005","00144155","SK","003600"
"33056","00678281","에이치앤아이","103650"
"33080","00314888","디에스","051710"
"33140","00653990","유니드코리아","110500"
"33189","00451116","아이레보","072430"
"33235","00159926","포스코티엠씨","010150"
"33336","00648688","거북선2호선박투자회사","101380"
"33412","00512550","아시아퍼시픽5호선박투자회사","082240"
"33413","00512532","아시아퍼시픽7호선박투자회사","082260"
"33414","00512541","아시아퍼시픽6호선박투자회사","082250"
"33548","00907013","한국ANKOR유전","152550"
"33603","01047929","에스케이제1호기업인수목적","207930"
"33611","01064315","대우기업인수목적3호","215580"
"33627","01047567","엔에이치에스엘기업인수목적","207720"
"33844","01043871","케이티비기업인수목적1호","204650"
"33854","01065536","미래에셋제3호기업인수목적","215750"
"33879","00636045","넥솔론","110570"
"33887","00632331","디피앤케이","189700"
"33931","00974459","비앤에스미디어","156170"
"33966","00461690","세화피앤씨","085980"
"34006","01111057","에스지에이시스템즈","232290"
"34247","00653112","미래자원엠엘","233190"
"34311","00823687","웨이포트유한공사","900130"
"34312","00318538","아스팩오일","232360"
"34328","00855145","하이골드오션2호선박투자회사","139200"
"34359","01046179","골든브릿지제2호기업인수목적","206660"
"34432","00110495","대성합동지주","005620"
"34450","00722500","중국원양자원유한공사","900050"
"34464","01018167","캐로스","260490"
"34474","00533678","아시아퍼시픽15호선박투자회사","083620"
"34475","01047716","하나머스트3호기업인수목적","208870"
"34502","00686147","신성에프에이","104120"
"34597","00686068","신성이엔지","104110"
"34677","00783246","글로벌에스엠","900070"
"34710","00800084","씨케이에이치","900120"
"34758","00163619","한진피앤씨","061460"
"34899","00967778","나이코","192240"
"35346","01038161","대우기업인수목적2호","204440"
"35475","00267960","에스에스컴텍","036500"
"35607","00529310","동북아10호선박투자회사","083350"
"35778","01080410","골든브릿지제3호기업인수목적","219580"
"35852","00413824","제이앤유글로벌","086200"
"35895","01090301","케이비제8호기업인수목적","222390"
"36160","00626710","베트남개발1","096300"
"36249","01010572","패션플랫폼","256090"
"36434","01075047","키움제3호기업인수목적","218710"
"36448","00612115","유디피","091270"
"36545","01089828","유진기업인수목적3호","221200"
"36560","00799070","이스트아시아홀딩스","900110"
"36570","01087079","한화에이스기업인수목적2호","219860"
"36580","01072660","엔에이치기업인수목적7호","217810"
"36623","01091391","교보5호기업인수목적","223040"
"36624","01089961","케이비드림투게더제3호기업인수목적","221950"
"36687","01089387","유안타제2호기업인수목적","219960"
"36742","01111765","에스엠로보틱스","252940"
"36818","01115257","시냅스엠","246830"
"37563","00408336","인산가","062580"
"37778","01109186","동부제4호기업인수목적","230490"
"37840","01095892","태경피엔에스","235090"
"37887","00130949","카카오엠","016170"
"37900","00202778","썬코어","051170"
"37904","01090921","케이엠제약","237720"
"37905","01102800","키움제4호기업인수목적","226850"
"38003","00148717","도레이케미칼","008000"
"38039","00959265","디와이엘엔제이","207230"
"38069","00447478","엔에스브이","095300"
"38099","00163789","심팩메탈","090730"
"38127","00838421","씨제이이앤엠","130960"
"38165","01094565","이베스트기업인수목적3호","225440"
"38190","00842327","완리인터내셔널홀딩스","900180"
"38271","00156044","하림홀딩스","024660"
"38419","00109170","대덕GDS","004130"
"38489","00207223","위너지스","026260"
"38495","00454265","스틸플라워","087220"
"38727","01170962","GRT","900290"
"38739","00348177","트레이스","052290"
"39067","01111020","케이비제9호기업인수목적","232270"
"39068","01117103","하이에이아이1호기업인수목적","235010"
"39260","00264644","넥스콘테크놀러지","038990"
"39374","00334244","덴소코리아","047060"
"39764","00535719","프렉코","082220"
"39817","00790121","차이나하오란리사이클링유한공사","900090"
"40212","00960641","한국패러랠","168490"
"40347","00569992","원익테라세미콘","123100"
"40840","01328639","윙입푸드","900340"
"40912","00925453","나무기술","167380"
"41104","00263140","루트원플러스","046400"
"41290","01130937","한국제4호기업인수목적","240540"
"41305","00232496","씨그널엔터테인먼트그룹","099830"
"41628","01088458","극동자동화","272420"
"41831","00108047","세원화성","007910"
"42037","00600013","맵스리얼티1","094800"
"42096","00268181","에스피컴텍","039110"
"42531","00609254","세왕","111610"
"42637","01117495","에스와이제이","251540"
"42665","00835734","피엠디아카데미","144740"
"43138","01119217","본느","242420"
