"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"2042","028670","팬오션",6240,-150,-2.35,284,21.97,5400,1.16,0,0
"2043","222110","팬젠",9690,210,2.22,NA,NA,1911,5.07,0,0
"2044","010820","퍼스텍",2430,0,0,NA,NA,583,4.17,0,0
"2045","016800","퍼시스",29950,200,0.67,3601,8.32,38601,0.78,1000,3.34
"2046","263750","펄어비스",301700,600,0.2,13002,23.2,45229,6.67,0,0
"2047","251970","펌텍코리아",17400,50,0.29,1714,10.15,11642,1.49,330,1.9
"2048","001020","페이퍼코리아",2320,30,1.31,NA,NA,436,5.32,0,0
"2049","087010","펩트론",14750,250,1.72,NA,NA,1743,8.46,0,0
"2050","090080","평화산업",1115,15,1.36,NA,NA,610,1.83,0,0
"2051","043370","평화정공",10600,-200,-1.85,1506,7.04,27452,0.39,180,1.7
"2052","010770","평화홀딩스",3735,-25,-0.66,NA,NA,7971,0.47,150,4.02
"2053","119500","포메탈",4370,-25,-0.57,186,23.49,3776,1.16,60,1.37
"2054","016670","포비스티앤씨",973,0,0,NA,NA,1135,0.86,0,0
"2055","056730","포스링크",1550,0,0,NA,NA,193,8.03,0,0
"2056","022100","포스코 ICT",7370,0,0,258,28.57,2402,3.07,50,0.68
"2057","058430","포스코강판",29700,700,2.41,446,66.59,36256,0.82,400,1.35
"2058","009520","포스코엠텍",9390,390,4.33,254,36.97,2160,4.35,80,0.85
"2059","047050","포스코인터내셔널",22250,-200,-0.89,1697,13.11,24703,0.9,700,3.15
"2060","003670","포스코케미칼",157500,0,0,1569,100.38,15352,10.26,400,0.25
"2061","189690","포시에스",7250,10,0.14,671,10.8,6906,1.05,100,1.38
"2062","318020","포인트모바일",48350,4450,10.14,1713,28.23,7116,6.79,0,0
"2063","256630","포인트엔지니어링",3090,0,0,23,134.35,1222,2.53,20,0.65
"2064","141020","포티스",108,0,0,NA,NA,370,0.29,0,0
"2065","007630","폴루스바이오팜",1225,0,0,NA,NA,1509,0.81,0,0
"2066","290720","푸드나무",26100,-600,-2.25,656,39.79,7454,3.5,70,0.27
"2067","005670","푸드웰",7860,640,8.86,3153,2.49,7681,1.02,100,1.27
"2068","094940","푸른기술",10600,300,2.91,80,132.5,3426,3.09,30,0.28
"2069","007330","푸른저축은행",16000,-150,-0.93,2008,7.97,17594,0.91,550,3.44
"2070","017810","풀무원",16800,200,1.2,56,300,9425,1.78,102,0.61
"2071","093380","풍강",4065,40,0.99,114,35.66,6168,0.66,60,1.48
"2072","023900","풍국주정",19700,50,0.25,618,31.88,10607,1.86,160,0.81
"2073","103140","풍산",32800,-100,-0.3,629,52.15,49306,0.67,400,1.22
"2074","005810","풍산홀딩스",22750,0,0,2544,8.94,62585,0.36,1400,6.15
"2075","195440","퓨전",2075,0,0,NA,NA,8080,0.26,0,0
"2076","214270","퓨쳐스트림네트웍스",1165,40,3.56,36,32.36,588,1.98,0,0
"2077","220100","퓨쳐켐",17150,100,0.59,NA,NA,1421,12.07,0,0
"2078","035200","프럼파스트",4780,35,0.74,124,38.55,3618,1.32,0,0
"2079","334970","프레스티지바이오로직스",12550,-350,-2.71,NA,NA,814,15.42,0,0
"2080","203690","프로스테믹스",3480,-40,-1.14,NA,NA,621,5.6,0,0
"2081","053610","프로텍",28100,-150,-0.53,3720,7.55,18797,1.49,400,1.42
"2082","335810","프리시젼바이오",17000,1100,6.92,NA,NA,1183,14.37,0,0
"2083","053160","프리엠스",16000,-300,-1.84,102,156.86,7582,2.11,50,0.31
"2084","075130","플랜티넷",6000,10,0.17,303,19.8,7467,0.8,250,4.17
"2085","237820","플레이디",8460,-150,-1.74,730,11.59,4477,1.89,220,2.6
"2086","023770","플레이위드",8760,10,0.11,1148,7.63,2126,4.12,0,0
"2087","300080","플리토",13100,300,2.34,NA,NA,4642,2.82,0,0
"2088","032580","피델릭스",1490,50,3.47,NA,NA,1370,1.09,0,0
