"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"22","064520","바른전자",1005,0,0,"KOSDAQ","반도체",74054909385,NA,NA,639,1.57,0,0
"23","011690","유양디앤유",1220,0,0,"KOSPI","전기전자",71362925220,NA,NA,1985,0.61,0,0
"24","012170","키위미디어그룹",1105,0,0,"KOSPI","서비스업",68534900070,NA,NA,NA,NA,0,0
"25","111820","지와이커머스",2470,0,0,"KOSDAQ","인터넷",64178466950,NA,NA,18,137.22,0,0
"26","263920","블러썸엠앤씨",4555,0,0,"KOSDAQ","기타제조",62509048460,NA,NA,6606,0.69,0,0
"27","257370","명성티엔에스",9210,0,0,"KOSDAQ","IT부품",59319850890,79,116.58,6005,1.53,0,0
"28","073070","에이팸",2035,0,0,"KOSDAQ","운송장비·부품",58427546375,NA,NA,2250,0.9,0,0
"29","115530","씨엔플러스",839,0,0,"KOSDAQ","IT부품",57020957000,NA,NA,222,3.78,0,0
"30","056000","COWON",2860,0,0,"KOSDAQ","디지털컨텐츠",56399843500,NA,NA,1229,2.33,0,0
"31","007630","폴루스바이오팜",1225,0,0,"KOSPI","유통업",55134426375,NA,NA,1509,0.81,0,0
"32","109070","컨버즈",4100,0,0,"KOSPI","종이목재",53879690800,NA,NA,1010,4.06,0,0
"33","024830","세원물산",6280,0,0,"KOSDAQ","운송장비·부품",5.2438e+10,1572,3.99,22641,0.28,25,0.4
"34","168330","내츄럴엔도텍",2525,0,0,"KOSDAQ","기타서비스",52181200550,NA,NA,1010,2.5,0,0
"35","060300","레드로버",1830,0,0,"KOSDAQ","오락·문화",48765969930,NA,NA,312,5.87,0,0
"36","106080","하이소닉",3330,0,0,"KOSDAQ","IT부품",48753617580,NA,NA,883,3.77,0,0
"37","066790","씨씨에스",846,0,0,"KOSDAQ","방송서비스",47355837282,NA,NA,590,1.43,0,0
"38","035290","더블유에프엠",1305,0,0,"KOSDAQ","출판·매체복제",47272202550,NA,NA,50,26.1,0,0
"39","043590","크로바하이텍",1865,0,0,"KOSDAQ","반도체",46187765670,NA,NA,861,2.17,0,0
"40","114190","강원",2500,0,0,"KOSDAQ","금속",45387277500,NA,NA,1211,2.06,0,0
"41","050320","아래스",990,0,0,"KOSDAQ","컴퓨터서비스",45205142400,NA,NA,60,16.5,0,0
"42","086250","이노와이즈",1405,0,0,"KOSDAQ","기계·장비",43288294470,NA,NA,NA,NA,0,0
"43","065420","에스아이리소스",639,0,0,"KOSDAQ","광업",42391307925,NA,NA,178,3.59,0,0
"44","223310","경남제약헬스케어",3320,0,0,"KOSDAQ","소프트웨어",37836250520,NA,NA,4820,0.69,0,0
"45","159910","스킨앤스킨",263,0,0,"KOSDAQ","반도체",36570869305,NA,NA,282,0.93,0,0
"46","263540","샘코",2015,0,0,"KOSDAQ","운송장비·부품",36098614175,NA,NA,1101,1.83,0,0
"47","083470","이엠앤아이",1585,0,0,"KOSDAQ","IT부품",35542856275,968,1.64,219,7.24,0,0
"48","070300","엑스큐어",4810,0,0,"KOSDAQ","소프트웨어",35430815940,175,27.49,3165,1.52,0,0
"49","052770","아이톡시",3180,0,0,"KOSDAQ","디지털컨텐츠",34542772260,NA,NA,501,6.35,0,0
"50","036180","지더블유바이텍",1205,0,0,"KOSDAQ","유통",33647104140,NA,NA,1342,0.9,0,0
